pitcher_name,country,game_date,pitch_type,pitch_name,release_speed,release_spin_rate,pfx_x,pfx_z,plate_x,plate_z,p_throws,stand,balls,strikes,description
Zack Wheeler,USA,2025-08-15,CU,Curveball,80.5,2794.0,1.12,-0.9,-0.2953004765253778,2.7220305166583607,R,L,3,2,called_strike
Zack Wheeler,USA,2025-08-15,FF,4-Seam Fastball,94.9,2363.0,-1.03,1.16,-1.202631050011746,3.7736760542397176,R,L,3,2,foul
Zack Wheeler,USA,2025-08-15,FC,Cutter,91.6,2641.0,-0.01,0.86,0.4483769016029307,3.289138948634545,R,L,3,1,foul
Zack Wheeler,USA,2025-08-15,ST,Sweeper,81.4,2668.0,1.25,0.14,-0.9850161738242188,2.754728254891316,R,L,2,1,ball
Zack Wheeler,USA,2025-08-15,ST,Sweeper,81.4,2731.0,1.36,0.04,-0.5161385528882096,2.102280713724389,R,L,2,0,called_strike
Zack Wheeler,USA,2025-08-15,FF,4-Seam Fastball,94.9,2228.0,-1.11,1.02,-0.4057774443348225,3.8925393357202136,R,L,1,0,ball
Zack Wheeler,USA,2025-08-15,FF,4-Seam Fastball,95.0,2426.0,-1.29,1.09,-0.660385762608305,3.988395399816094,R,L,0,0,ball
Zack Wheeler,USA,2025-08-15,FF,4-Seam Fastball,95.6,2525.0,-0.89,1.26,-0.1610959901971606,2.861895188537887,R,L,2,2,hit_into_play
Zack Wheeler,USA,2025-08-15,ST,Sweeper,82.0,2771.0,1.28,-0.2,0.5633432000325269,1.8854506179859205,R,L,2,1,called_strike
Zack Wheeler,USA,2025-08-15,CU,Curveball,80.5,2912.0,1.12,-0.92,0.4592750119896537,1.3576477755956158,R,L,1,1,ball
Zack Wheeler,USA,2025-08-15,FS,Split-Finger,87.0,1602.0,-1.35,0.0,-1.221678675874286,2.256275141090042,R,L,0,1,ball
Zack Wheeler,USA,2025-08-15,FF,4-Seam Fastball,94.7,2445.0,-0.86,1.26,0.2664482828175784,3.535522804610904,R,L,0,0,foul
Zack Wheeler,USA,2025-08-15,FF,4-Seam Fastball,94.8,2394.0,-1.0,1.18,-0.2657151042022053,3.2662903436084423,R,L,1,2,swinging_strike
Zack Wheeler,USA,2025-08-15,FF,4-Seam Fastball,94.8,2361.0,-0.98,1.14,-0.580305573320122,2.72761565350848,R,L,1,1,foul
Zack Wheeler,USA,2025-08-15,CU,Curveball,79.3,2792.0,1.31,-0.86,-0.0707369639602817,0.6420822587877262,R,L,0,1,blocked_ball
Zack Wheeler,USA,2025-08-15,CU,Curveball,79.5,2808.0,1.17,-0.99,0.7560912991696519,0.4538427354725747,R,L,0,0,swinging_strike_blocked
Zack Wheeler,USA,2025-08-15,FF,4-Seam Fastball,96.0,2392.0,-0.79,1.18,-0.6346265170394795,3.897652782786439,R,R,3,2,ball
Zack Wheeler,USA,2025-08-15,SI,Sinker,95.9,2353.0,-1.45,0.66,-1.1987706403515064,2.390074999093573,R,R,3,2,foul
Zack Wheeler,USA,2025-08-15,FS,Split-Finger,85.6,1386.0,-1.01,-0.09,-0.8240782985062726,2.3715740220900865,R,R,2,2,ball
Zack Wheeler,USA,2025-08-15,ST,Sweeper,82.8,2601.0,0.96,0.34,1.6313147799955017,2.2047418385067608,R,R,1,2,ball
Zack Wheeler,USA,2025-08-15,ST,Sweeper,82.7,2625.0,1.22,0.16,0.8331220269528565,1.5838705010775311,R,R,1,1,called_strike
Zack Wheeler,USA,2025-08-15,SI,Sinker,93.2,2196.0,-1.54,0.62,-0.4855681245621717,1.98491751259806,R,R,1,0,foul
Zack Wheeler,USA,2025-08-15,SI,Sinker,93.2,2154.0,-1.47,0.56,-1.522231036762682,2.289253475361275,R,R,0,0,ball
Zack Wheeler,USA,2025-08-15,FF,4-Seam Fastball,95.3,2457.0,-0.72,1.34,0.5350120518258503,3.4542093758416987,R,R,1,2,swinging_strike
Zack Wheeler,USA,2025-08-15,SI,Sinker,95.9,2318.0,-1.26,0.83,0.3634122027546764,1.7075460688967283,R,R,1,1,called_strike
Zack Wheeler,USA,2025-08-15,ST,Sweeper,82.9,2691.0,1.36,-0.04,2.3006547148828123,1.2292086870356234,R,R,0,1,ball
Zack Wheeler,USA,2025-08-15,SI,Sinker,93.3,2174.0,-1.46,0.59,-0.4855728325965622,2.2662476706550194,R,R,0,0,foul
Zack Wheeler,USA,2025-08-15,FS,Split-Finger,87.2,1562.0,-1.11,-0.1,0.7014834353583539,1.695497653827803,R,L,1,0,hit_into_play
Zack Wheeler,USA,2025-08-15,FF,4-Seam Fastball,95.1,2427.0,-0.9,1.28,-0.7066868402866161,4.036165457526881,R,L,0,0,ball
Zack Wheeler,USA,2025-08-15,FC,Cutter,92.1,2581.0,-0.06,0.81,0.2892671197942406,3.109642049497096,R,L,3,2,hit_into_play
Zack Wheeler,USA,2025-08-15,FF,4-Seam Fastball,95.8,2512.0,-0.88,1.19,0.9077482941587482,3.8048039014484014,R,L,3,2,foul
Zack Wheeler,USA,2025-08-15,ST,Sweeper,82.0,2848.0,1.13,-0.32,0.8154788333944352,0.918054243595268,R,L,2,2,ball
Zack Wheeler,USA,2025-08-15,CU,Curveball,81.2,2854.0,1.32,-0.75,0.4320644003752558,1.4471205772527074,R,L,2,2,foul
Zack Wheeler,USA,2025-08-15,FF,4-Seam Fastball,95.7,2450.0,-0.99,1.02,-1.0901478015984896,3.2864688360051546,R,L,2,2,foul
Zack Wheeler,USA,2025-08-15,FF,4-Seam Fastball,95.9,2483.0,-0.88,1.19,-0.7770833679676923,2.574266154412835,R,L,2,1,foul
