country,pitcher_name,pitch_type,pitch_name,pitches,avg_velocity,avg_spin,avg_horizontal_break,avg_vertical_break,usage_pct
Cuba,Aroldis Chapman,FF,4-Seam Fastball,357,98.38,2448.0,0.29,1.54,39.27
Cuba,Aroldis Chapman,SI,Sinker,309,99.42,2434.0,0.91,1.42,33.99
Cuba,Aroldis Chapman,SL,Slider,138,86.66,2316.0,-0.86,0.39,15.18
Cuba,Aroldis Chapman,FS,Split-Finger,102,91.22,1276.0,0.43,0.33,11.22
Cuba,Aroldis Chapman,,,3,,,,,0.33
Cuba,Johan Oviedo,FF,4-Seam Fastball,246,95.49,2340.0,-0.49,1.27,36.88
Cuba,Johan Oviedo,SL,Slider,214,86.71,2385.0,0.54,0.15,32.08
Cuba,Johan Oviedo,CU,Curveball,105,77.74,2281.0,0.74,-0.19,15.74
Cuba,Johan Oviedo,SI,Sinker,61,95.1,2281.0,-1.22,0.67,9.15
Cuba,Johan Oviedo,CH,Changeup,39,88.58,1880.0,-1.34,0.58,5.85
Cuba,Johan Oviedo,,,2,,,,,0.3
Cuba,Raisel Iglesias,FF,4-Seam Fastball,382,94.87,2344.0,-0.75,1.25,39.83
Cuba,Raisel Iglesias,CH,Changeup,262,88.75,1994.0,-1.32,0.37,27.32
Cuba,Raisel Iglesias,SI,Sinker,213,94.66,2333.0,-1.38,0.76,22.21
Cuba,Raisel Iglesias,SL,Slider,92,83.78,2635.0,0.83,0.37,9.59
Cuba,Raisel Iglesias,,,10,,,,,1.04
Cuba,Yariel Rodriguez,SL,Slider,460,85.59,2767.0,0.58,0.04,41.07
Cuba,Yariel Rodriguez,FF,4-Seam Fastball,444,95.7,2449.0,-0.34,1.12,39.64
Cuba,Yariel Rodriguez,FS,Split-Finger,135,89.33,1600.0,-1.28,0.41,12.05
Cuba,Yariel Rodriguez,SI,Sinker,67,95.48,2395.0,-1.36,0.89,5.98
Cuba,Yariel Rodriguez,,,13,,,,,1.16
Cuba,Yariel Rodriguez,PO,Pitch Out,1,94.1,2441.0,-0.26,1.21,0.09
Cuba,Yennier Cano,SI,Sinker,443,95.11,2063.0,-1.42,-0.11,46.1
Cuba,Yennier Cano,ST,Sweeper,174,85.99,2471.0,1.04,-0.02,18.11
Cuba,Yennier Cano,CH,Changeup,116,91.8,1850.0,-1.49,0.16,12.07
Cuba,Yennier Cano,FF,4-Seam Fastball,111,94.9,2197.0,-1.14,0.62,11.55
Cuba,Yennier Cano,FS,Split-Finger,71,90.63,1468.0,-1.1,-0.36,7.39
Cuba,Yennier Cano,FC,Cutter,25,91.87,2153.0,-0.55,0.19,2.6
Cuba,Yennier Cano,SL,Slider,15,87.2,2363.0,0.35,0.02,1.56
Cuba,Yennier Cano,,,6,,,,,0.62
Dominican Republic,Cristopher Sanchez,SI,Sinker,1289,95.35,2138.0,1.52,0.37,45.97
Dominican Republic,Cristopher Sanchez,CH,Changeup,1044,86.24,2045.0,1.41,-0.09,37.23
Dominican Republic,Cristopher Sanchez,SL,Slider,470,85.67,2089.0,-0.13,-0.05,16.76
Dominican Republic,Cristopher Sanchez,,,1,,,,,0.04
Dominican Republic,Framber Valdez,SI,Sinker,1276,94.21,2202.0,1.3,0.5,45.44
Dominican Republic,Framber Valdez,CU,Curveball,926,79.4,2943.0,-1.1,-1.23,32.98
Dominican Republic,Framber Valdez,CH,Changeup,506,89.82,1709.0,1.22,0.07,18.02
